C03-P03,C04-P04,F03-C03,F04-C04,F07-T03,F08-T04,FP01-F03,FP01-F07,FP02-F04,FP02-F08,FZ-CZ,P03-O01,P04-O02,T03-T05,T04-T06,T05-O01,T06-O02,uid,sleep_state
13.662368,12.991599,10.152208,11.4198475,10.796872,9.3941,14.603605,11.987583,14.475244,10.046029,5.9632688,11.393259,11.593444,15.057811,16.486984,13.0027275,10.924513,26,sleep
5.3740816,5.149391,5.7086697,5.9764132,5.674086,5.795968,5.5169687,5.40331,5.3399744,5.369072,4.7739763,5.501459,5.3266315,5.563175,5.4683714,5.399667,5.3865805,26,wake
7.689943,10.029182,7.224478,8.831329,6.2755866,7.5084085,6.343614,6.112738,8.0096445,6.6672516,5.243361,8.962267,9.436918,7.348653,8.832949,7.7640586,8.395452,27,sleep
9.897432,9.3819065,9.019571,8.473511,8.858723,8.625333,7.3914495,7.831923,8.014994,8.586501,5.3491707,9.027399,8.04141,8.7566595,9.451142,8.867906,8.626063,27,wake
7.1011667,7.2034287,6.950109,7.2883325,7.236213,7.0585675,7.731821,7.132757,6.9271064,7.2487006,5.6146545,6.914619,6.819539,7.1710777,7.6704845,6.929854,7.2806087,28,sleep
8.6648,8.151595,8.339567,7.8140903,8.2387495,7.4320135,6.662012,7.9781213,7.795972,7.0849595,4.8840876,8.659452,8.511375,7.9212823,8.426321,8.46305,8.7859125,28,wake
11.451578,10.083024,9.409817,8.661592,9.939264,9.327441,8.840523,9.223044,9.352478,9.329647,5.552547,9.726782,9.408923,9.554404,9.671641,9.305218,9.827174,29,sleep
8.940511,7.983077,8.536678,7.968776,7.467293,7.914092,7.452259,7.74578,7.323983,6.5433264,5.4761753,8.145047,8.375406,7.8032384,9.071326,8.545185,8.645218,29,wake
11.767299,11.723275,10.487741,9.709801,11.023416,11.0281,10.582697,13.151954,11.281264,13.532812,5.90642,10.044302,9.8367405,13.186136,12.270374,10.083845,10.670713,30,sleep
4.535674,5.0639105,4.6995544,4.918437,4.544424,5.0317245,4.866287,4.989014,4.6556983,4.750547,4.6692595,4.904807,4.4267817,4.85357,4.927229,4.9663568,4.7262473,30,wake
7.289221,7.617752,7.582076,6.6431,7.058666,6.968033,6.5370755,7.330891,6.3962154,7.789886,5.209056,7.4705095,7.773965,7.3665686,8.286673,8.524306,8.271558,31,sleep
5.595575,5.859746,5.985465,5.908183,6.1780696,5.6893997,5.7290864,5.1895194,5.522037,5.3840117,4.967984,5.387491,5.581082,6.3696594,6.5990725,6.2909093,5.9327683,31,wake
9.53538,10.901524,10.762265,9.135706,10.155092,9.92338,9.526122,9.922937,8.6478,9.802488,5.7573977,9.268375,10.546765,9.095969,9.482219,10.115191,9.484543,32,sleep
6.0695753,5.9447474,6.008805,5.920076,6.5745997,6.114176,6.2493663,6.1611104,6.217713,5.938897,5.6006093,5.9547243,6.003683,6.2434435,5.6924896,5.958943,6.133187,32,wake
7.158712,7.7923374,8.190338,7.5456963,7.0461264,8.789448,9.316571,6.8970933,8.424678,8.622597,4.906517,7.9181013,8.481064,6.4164743,9.9705515,8.954867,9.441682,33,sleep
7.447082,8.712217,7.0076575,6.7159734,6.120443,6.6644826,5.715767,5.758673,8.21111,6.7343993,5.7825303,6.882633,6.551164,6.5849004,9.370615,7.100418,7.8575473,33,wake
6.7416406,5.7898145,8.272083,6.6180778,6.801268,7.49071,6.3355227,5.929765,6.0428143,6.1001987,5.381066,6.65307,6.099541,6.3275485,6.319956,5.9249516,6.717025,34,sleep
